,Region,FSL IEEE,SPM IEEE,AFNI IEEE,FSL MCA1,FSL MCA2,FSL MCA3,SPM MCA1,SPM MCA2,SPM MCA3,AFNI MCA1,AFNI MCA2,AFNI MCA3
292,R_IP0_ROI,0,0,0,0,0,0,0,0,0,0,0,0
293,L_PFop_ROI,0,0,1,0,0,0,0,0,0,1,0,0
294,R_PFop_ROI,0,0,1,0,0,0,0,0,0,1,1,1
295,L_PF_ROI,1,1,1,1,1,1,1,1,1,1,1,1
296,R_PF_ROI,0,0,1,0,0,0,0,0,0,1,1,1
297,L_PFm_ROI,1,1,1,1,1,1,1,1,1,1,1,1
298,R_PFm_ROI,0,0,1,0,0,0,0,0,0,1,1,1
299,L_PGi_ROI,0,0,0,0,0,0,0,0,0,0,0,0
300,R_PGi_ROI,0,0,1,0,0,0,0,0,0,1,1,1
301,L_PGs_ROI,0,0,0,0,0,0,0,0,0,0,0,0
302,R_PGs_ROI,0,0,1,0,0,0,0,0,0,1,1,1
303,L_V6A_ROI,0,0,0,0,0,0,0,0,0,0,0,0
304,R_V6A_ROI,0,0,0,0,0,0,0,0,0,0,0,0
305,L_VMV1_ROI,0,0,0,1,1,1,0,0,0,0,0,0
306,R_VMV1_ROI,0,0,0,0,0,0,0,0,0,0,0,0
307,L_VMV3_ROI,0,0,0,0,0,0,0,0,0,0,0,0
308,R_VMV3_ROI,0,0,0,0,0,0,0,0,0,0,0,0
309,L_PHA2_ROI,0,0,0,0,0,0,0,0,0,0,0,0
310,R_PHA2_ROI,0,0,0,0,0,0,1,0,1,0,0,0
311,L_V4t_ROI,0,0,0,0,0,0,0,0,0,0,0,0
312,R_V4t_ROI,0,0,0,0,0,0,0,0,0,0,0,0
313,L_FST_ROI,0,0,0,0,0,0,0,0,0,0,0,0
314,R_FST_ROI,0,0,0,0,0,0,0,0,0,0,0,0
315,L_V3CD_ROI,0,0,1,0,0,0,0,0,0,1,1,1
316,R_V3CD_ROI,0,0,1,0,0,0,0,0,0,1,1,1
317,L_LO3_ROI,0,0,0,0,0,0,0,0,0,0,0,0
318,R_LO3_ROI,0,0,0,0,0,0,0,0,0,0,0,0
319,L_VMV2_ROI,0,0,0,0,0,0,0,0,0,0,0,0
320,R_VMV2_ROI,0,0,0,0,0,0,0,0,0,0,0,0
321,L_31pd_ROI,0,0,1,0,0,0,0,0,0,0,1,0
322,R_31pd_ROI,0,1,1,0,0,0,1,1,1,1,1,1
323,L_31a_ROI,0,0,0,0,0,0,0,0,0,0,0,0
324,R_31a_ROI,0,1,1,0,0,0,1,1,1,1,1,1
325,L_VVC_ROI,1,0,0,1,1,1,0,0,0,0,0,0
326,R_VVC_ROI,1,0,0,0,1,1,0,0,0,0,0,0
327,L_25_ROI,1,1,1,1,1,1,1,1,1,1,1,1
328,R_25_ROI,1,1,1,1,1,1,1,1,1,1,1,1
329,L_s32_ROI,1,1,1,1,1,1,1,1,1,1,1,1
330,R_s32_ROI,1,1,1,1,1,1,1,1,1,1,1,1
331,L_pOFC_ROI,1,0,1,1,1,1,0,0,0,1,1,1
332,R_pOFC_ROI,1,0,1,1,1,1,0,0,0,1,1,1
333,L_PoI1_ROI,0,0,0,0,0,0,0,0,0,0,0,0
334,R_PoI1_ROI,0,0,1,0,0,0,0,0,0,1,1,1
335,L_Ig_ROI,0,0,0,0,0,0,0,0,0,0,0,0
336,R_Ig_ROI,0,0,0,0,0,0,0,0,0,0,0,0
337,L_FOP5_ROI,1,1,1,1,1,1,1,1,1,1,1,1
338,R_FOP5_ROI,1,1,1,1,1,1,1,1,1,1,1,1
339,L_p10p_ROI,0,0,0,0,0,0,0,0,0,0,0,0
340,R_p10p_ROI,1,0,1,1,1,1,0,0,0,1,1,1
341,L_p47r_ROI,1,0,0,1,1,1,0,0,0,0,0,0
342,R_p47r_ROI,0,0,1,0,0,0,0,0,0,0,0,0
343,L_TGv_ROI,0,0,0,1,0,1,0,0,0,0,0,0
344,R_TGv_ROI,0,0,0,0,0,0,0,0,0,0,0,0
345,L_MBelt_ROI,0,0,0,0,0,0,0,0,0,0,0,0
346,R_MBelt_ROI,0,0,0,0,0,0,0,0,0,0,0,0
347,L_LBelt_ROI,0,0,0,0,0,0,0,0,0,0,0,0
348,R_LBelt_ROI,0,0,0,0,0,0,0,0,0,0,0,0
349,L_A4_ROI,0,0,0,0,0,0,0,0,0,0,0,0
350,R_A4_ROI,0,0,0,0,0,0,0,0,0,0,0,0
351,L_STSva_ROI,0,0,0,0,0,0,0,0,0,0,0,0
352,R_STSva_ROI,0,0,0,0,0,0,0,0,0,0,0,0
353,L_TE1m_ROI,0,0,0,0,0,0,0,0,0,0,0,0
354,R_TE1m_ROI,0,0,0,0,0,0,0,0,0,0,0,0
355,L_PI_ROI,0,0,0,0,0,0,0,0,0,0,0,0
356,R_PI_ROI,0,0,0,0,0,0,0,0,0,0,0,0
357,L_a32pr_ROI,1,1,1,1,1,1,1,1,1,1,1,1
358,R_a32pr_ROI,0,1,1,0,0,0,1,1,1,1,1,1
359,L_p24_ROI,1,1,1,1,1,1,1,1,1,1,1,1
360,R_p24_ROI,0,1,1,0,1,0,1,1,1,1,1,1
